sample_id,year,sequence,collection_type,treatment_status,boat_hatchery,port_landed,collection_lat,collection_long,agency_id,collection_date,species,run,stock,sent_on,sent_to,adipose_fin,fl_mm,weight_kg,egg_status,avg_egg_diam_mm,stdev_egg_diam_mm,avg_num_eggs,avg_sample_mass_g,avg_egg_TPP,pct_TPP,avg_egg_TMP,pct_TMP,avg_egg_TH,pct_TH,avg_total_egg_thi_nmol_g,avg_total_thi_per_egg_nmol,egg_thi_status,new_status,avg_liver_thi,avg_muscle_thi,avg_blood_thi,lipid_id,lipid_percent,fatmeter_1,fatmeter_2,fatmeter_3,fatmeter_4,fatmeter_avg,cwt,brood_year,stock_id,release_site,release_date,origin,notes,"QC by","Date of QC"
THICNFH19-LF-19-1,2020,1,hatchery,NA,coleman,anderson,40.398815,-122.14456,NA,NA,chinook,"late fall",ccv,NA,SUNY,NA,NA,NA,NA,NA,NA,NA,1.78,0.71,22.71,0.54,17.25,1.87,60.03,3.10,NA,low,impacted,NA,NA,NA,23682,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No data for these fish except thiamine levels",ME,01/04/2023
THICNFH19-LF-19-2,2020,1,hatchery,NA,coleman,anderson,40.398815,-122.14456,NA,NA,chinook,"late fall",ccv,NA,SUNY,NA,NA,NA,NA,NA,NA,NA,1.09,1.25,57.52,0.50,22.73,0.43,19.75,2.20,NA,"critically low","severely impacted",NA,NA,NA,23683,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,ME,01/04/2023
THICNFH19-LF-19-3,2020,1,hatchery,NA,coleman,anderson,40.398815,-122.14456,NA,NA,chinook,"late fall",ccv,NA,SUNY,NA,NA,NA,NA,NA,NA,NA,1.04,1.24,12.93,0.68,7.02,7.70,80.05,9.60,NA,high,"unlikely impacted",NA,NA,NA,23684,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,ME,01/04/2023
THICNFH19-LF-19-4,2020,1,hatchery,NA,coleman,anderson,40.398815,-122.14456,NA,NA,chinook,"late fall",ccv,NA,SUNY,NA,NA,NA,NA,NA,NA,NA,1.27,1.22,11.33,0.58,5.41,9.00,83.26,10.80,NA,high,"unlikely impacted",NA,NA,NA,23685,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,ME,01/04/2023
THICNFH19-LF-19-5,2020,1,hatchery,NA,coleman,anderson,40.398815,-122.14456,NA,NA,chinook,"late fall",ccv,NA,SUNY,NA,NA,NA,NA,NA,NA,NA,1.47,1.41,29.84,0.70,14.80,2.61,55.36,4.70,NA,low,impacted,NA,NA,NA,23686,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,ME,01/04/2023
THICNFH19-LF-19-6,2020,1,hatchery,NA,coleman,anderson,40.398815,-122.14456,NA,NA,chinook,"late fall",ccv,NA,SUNY,NA,NA,NA,NA,NA,NA,NA,1.66,1.17,22.90,0.56,10.88,3.39,66.22,5.10,NA,low,impacted,NA,NA,NA,23687,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,ME,01/04/2023
THICNFH19-LF-19-7,2020,1,hatchery,NA,coleman,anderson,40.398815,-122.14456,NA,NA,chinook,"late fall",ccv,NA,SUNY,NA,NA,NA,NA,NA,NA,NA,1.02,1.71,31.44,1.09,20.08,2.64,48.48,5.40,NA,low,impacted,NA,NA,NA,23688,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,ME,01/04/2023
THICNFH19-LF-19-8,2020,1,hatchery,NA,coleman,anderson,40.398815,-122.14456,NA,NA,chinook,"late fall",ccv,NA,SUNY,NA,NA,NA,NA,NA,NA,NA,1.5,1.51,54.61,0.58,21.00,0.68,24.39,2.80,NA,low,impacted,NA,NA,NA,23689,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,ME,01/04/2023
THICNFH19-LF-19-9,2020,1,hatchery,NA,coleman,anderson,40.398815,-122.14456,NA,NA,chinook,"late fall",ccv,NA,SUNY,NA,NA,NA,NA,NA,NA,NA,1.21,1.44,27.02,0.72,13.56,3.17,59.41,5.30,NA,low,impacted,NA,NA,NA,23690,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,ME,01/04/2023
THICNFH19-LF-19-10,2020,1,hatchery,NA,coleman,anderson,40.398815,-122.14456,NA,NA,chinook,"late fall",ccv,NA,SUNY,NA,NA,NA,NA,NA,NA,NA,1.27,1.24,24.12,0.55,10.69,3.36,65.20,5.20,NA,low,impacted,NA,NA,NA,23691,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,ME,01/04/2023
